X,Y,CCN,ADDRESS,DATE_OF_OFFENSE,TIME_OF_OFFENSE,DATE_OFFENSE_RECORDED,REPORT_YEAR,MONTH,POLICE_DISTRICT,WARD,TYPE_OF_HATE_BIAS,TARGETED_GROUP,TOP_OFFENSE_TYPE,MAR_ID,MAR_XCOORD,MAR_YCOORD,MAR_LATITUDE,MAR_LONGITUDE,SE_ANNO_CAD_DATA,GLOBALID,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,OBJECTID,SHAPE
-77.0327350238275,38.9347601264131,19167294,3500 block of 14th St NW,2019/09/19 04:00:00+00,1643,2019/09/19 04:00:00+00,2019,9,4D,Ward 1,Sexual Orientation,,Threats,808700,397162.02,140763.61,38.93475233,-77.03273273,,{81CB43F4-CFEA-4321-AA74-C6631C732072},,,MPD,2024/02/16 21:02:52+00,5414,
-76.9981813673456,38.8345283027786,19170714,400 block of Valley Ave SE,2019/09/24 04:00:00+00,2200,2019/09/24 04:00:00+00,2019,9,7D,Ward 8,Gender Identity/Expression,,Threats,802090,400158.0979181,129636.59784573,38.83452053,-76.99817909,,{F951027F-2D36-48C8-9A1F-2D383B712CD2},,,MPD,2024/02/16 21:02:52+00,5415,
-77.0787482025385,38.9487994076138,19180531,4500 block of 40th St NW,2019/10/09 04:00:00+00,0700,2019/10/09 04:00:00+00,2019,10,2D,Ward 3,Ethnicity/National Origin,Israeli,Damage/Defacing/Destruction of Property,805604,393173.95,142324.53,38.94879161,-77.07874589,,{5D9AAC0B-79CA-4635-A08F-2B5C318E19AB},,,MPD,2024/02/16 21:02:52+00,5416,
-77.0270509313018,38.9040652496441,19186919,1100 block of 11th St NW,2019/10/19 04:00:00+00,0318,2019/10/19 04:00:00+00,2019,10,3D,Ward 2,Race,Black,Threats,806268,397653.83,137356.06,38.90405746,-77.02704864,,{F8C7C0C2-F55F-4697-9FF4-66FDA509D66C},,,MPD,2024/02/16 21:02:52+00,5417,
-76.9828443258129,38.8545112607954,19190226,2400 block of 15th Pl SE,2019/10/24 04:00:00+00,0800,2019/10/24 04:00:00+00,2019,10,7D,Ward 8,Sexual Orientation,,ADW,804944,401489.29612734,131854.98322379,38.85450348,-76.98284205,,{797746F4-71D9-41EC-9602-755E74FB297C},,,MPD,2024/02/16 21:02:52+00,5418,
-77.0336468782466,38.8978374986173,19200686,600 block of 15th St NW,2019/11/08 05:00:00+00,2250,2019/11/09 05:00:00+00,2019,11,2D,Ward 2,Sexual Orientation,,ADW,803528,397081.45,136664.92,38.89782971,-77.03364458,,{37B54FCA-68E1-46C9-A576-52052D401A79},,,MPD,2024/02/16 21:02:52+00,5419,
-77.0499797096587,38.9025337467168,23089165,2400 block of K St NW,2023/06/04 04:00:00+00,2105,2023/06/04 04:00:00+00,2023,6,2D,Ward 2,Ethnicity/National Origin,Asian,Simple Assault,805065,395664.92,137186.89,38.90252596,-77.04997741,,{E872BF0F-0464-4CC5-B068-E26FC4CDA58A},,,MPD,2024/02/16 21:02:52+00,5420,
-77.038485220081,38.9129883235955,23096294,1700 block of 17th St NW,2023/06/14 04:00:00+00,0500,2023/06/15 04:00:00+00,2023,6,5D,Ward 2,Race,Black,Threats,807237,396662.45,138346.95,38.91298053,-77.03848292,,{5D896D4F-DD90-41F4-A8EC-5B6CB4AC34D3},,,MPD,2024/02/16 21:02:52+00,5421,
-77.0189306812491,38.9031285375296,23104429,1000 block of 5th St NW,2023/06/28 04:00:00+00,2210,2023/06/29 04:00:00+00,2023,6,1D,Ward 6,Sexual Orientation,,Simple Assault,805009,398358.15,137251.9,38.90312075,-77.01892839,,{81B2E19B-6753-4F58-A032-B778ECDA6430},,,MPD,2024/02/16 21:02:52+00,5422,
-76.9990353963072,38.9525591371055,23113229,400 block of Galloway St NE,2023/07/12 04:00:00+00,1620,2023/07/13 04:00:00+00,2023,7,4D,Ward 5,Sexual Orientation,,Simple Assault,816602,400083.81,142738.95,38.95255134,-76.99903311,,{F3313DBD-D969-4916-9E53-727D1BF9C654},,,MPD,2024/02/16 21:02:52+00,5423,
-76.9177824424172,38.8975430729226,23125631,600 block of 58th St NE,2023/08/02 04:00:00+00,0949,2023/08/02 04:00:00+00,2023,8,6D,Ward 7,Gender Identity/Expression,,ADW,812045,407132.31,136634.91,38.89753528,-76.91778018,,{C6261249-6D82-41F3-9174-8EB36CB0A81B},,,MPD,2024/02/16 21:02:52+00,5424,
-77.0253165614076,38.9181182924236,23128129,900 block of V St NW,2023/08/06 04:00:00+00,0333,2023/08/06 04:00:00+00,2023,8,3D,Ward 1,Personal Appearance,,Simple Assault,812112,397804.7,138916.02,38.9181105,-77.02531427,,{FABFF692-222D-419D-8186-8C5B4297EA6E},,,MPD,2024/02/16 21:02:52+00,5425,
-77.0296262316201,38.9079154247547,23150490,1300 block of 13th St NW,2023/09/12 04:00:00+00,0638,2023/09/12 04:00:00+00,2023,9,3D,Ward 2,Race,White,Threats,811736,397430.59,137783.53,38.90790764,-77.02962394,,{8672E1B5-906C-403D-9D33-D234A8FF4E9C},,,MPD,2024/02/16 21:02:52+00,5426,
-77.0119566166224,38.8975821115953,23157893,600 block of New Jersey Ave NW,2023/09/24 04:00:00+00,1855,2023/09/24 04:00:00+00,2023,9,1D,Ward 6,Ethnicity/National Origin,Jewish,Displaying Symbols,808425,398963,136636.1,38.89757432,-77.01195433,,{EAC1D994-2308-4BF0-BE55-EA934AE5E531},,,MPD,2024/02/16 21:02:52+00,5427,
-77.0514102652968,38.9052685211596,23168279,24th St NW and M St NW,2023/10/12 04:00:00+00,0803,2023/10/12 04:00:00+00,2023,10,2D,Ward 2,Religion,Muslim,Simple Assault,903002,395541.00348182,137490.54092502,38.90526073,-77.05140797,,{2986E270-1DE5-4C20-9093-61B1D3BA0D90},,,MPD,2024/02/16 21:02:52+00,5428,
